date,symbol,action,timestamp,entry,close,profit,percentage,result,balance
2021-06-28 0:02:12,BTC,buy,1624838532000,34831.44,34623.75,-0.5962716442,-0.005962716442,end,100
2021-06-29 10:41:09,EOS,buy,1624963269000,4.1497,4.1467,-0.07229438273,-0.0007229438273,end,99.40372836
2021-06-29 10:42:40,LTC,buy,1624963360000,144.95,145.13,0.124180752,0.00124180752,end,99.33186504
2021-06-29 10:52:53,ETH,buy,1624963973000,2171.73,2175.52,0.1745152482,0.001745152482,end,99.4552161
2021-06-29 10:54:13,BNB,buy,1624964053000,306,307.17,0.3823529412,0.003823529412,end,99.62878062
2021-06-29 11:01:24,FIL,buy,1624964484000,59.92,59.96,0.06675567423,0.0006675567423,end,100.0097142
2021-06-29 23:56:41,BTC,buy,1625011001000,35914,35911.73,-0.006320654898,-6.32E-05,end,100.0764764
2021-06-30 0:50:36,EOS,buy,1625014236000,4.2961,4.2798,-0.379413887,-0.00379413887,end,100.0701509
2021-06-30 4:18:48,BTC,buy,1625026728000,35237.09,35271.7,0.0982203695,0.000982203695,end,99.69047081
2021-06-30 8:04:58,QTUM,buy,1625040298000,7.835,7.9,0.8296107211,0.008296107211,end,99.78838716
2021-06-30 11:23:01,ETH,buy,1625052181000,2145.95,2136.3,-0.449684289,-0.00449684289,end,100.6162423
2021-06-30 12:09:37,BTC,buy,1625054977000,34899.99,34993.52,0.2679943461,0.002679943461,end,100.1637869
2021-07-02 23:10:23,SLP,buy,1625267423000,0.1519,0.150381,-1,-0.01,stop loss,100.4322202
2021-07-03 8:00:18,BTC,buy,1625299218000,34533.11,34422.78,-0.3194904832,-0.003194904832,end,99.42789797
2021-07-03 8:12:02,BAL,buy,1625299922000,22.786,22.55814,-1,-0.01,stop loss,99.1102353
2021-07-03 8:55:26,ETC,buy,1625302526000,57.457,57.6,0.2488817725,0.002488817725,end,98.11913294
2021-07-03 9:03:14,AAVE,buy,1625302994000,256.02,255.15,-0.3398172018,-0.003398172018,end,98.36333358
2021-07-03 11:55:37,UNI,buy,1625313337000,18.903,18.893,-0.05290165582,-0.0005290165582,end,98.02907805
2021-07-03 14:11:29,SAND,buy,1625321489000,0.26686,0.26694,0.02997826576,0.0002997826576,end,97.97721905
2021-07-04 4:30:47,ALICE,buy,1625373047000,4.4173,4.4449,0.6248160641,0.006248160641,end,98.00659092
2021-07-04 5:41:39,ETH,buy,1625377299000,2258.68,2271.77,0.5795420334,0.005795420334,end,98.61895184
2021-07-04 7:27:08,CRV,buy,1625383628000,1.818,1.817,-0.05500550055,-0.0005500550055,end,99.19049012
2021-07-05 5:20:23,GRT,buy,1625462423000,0.7781,0.7769,-0.1542218224,-0.001542218224,end,99.1359299
2021-07-06 4:24:11,BNB,buy,1625545451000,312,313.53,0.4903846154,0.004903846154,end,98.98304066
2021-07-06 12:41:12,KEEP,buy,1625575272000,0.2868,0.2904,1.255230126,0.01255230126,end,99.46843826
2021-07-21 12:28:51,ETH,buy,1626870531000,1915.13,1911.47,-0.1911097419,-0.001911097419,end,100.7169961
2021-07-27 9:16:41,SLP,buy,1627377401000,0.2893,0.2959,2.281368821,0.02281368821,end,100.5245161
2021-07-28 1:18:08,LIT,buy,1627435088000,3.9601,3.973,0.3257493498,0.003257493498,end,102.817851
2021-07-28 6:30:39,BTC,buy,1627453839000,39800,39826.9,0.0675879397,0.000675879397,end,103.1527795
2021-07-29 0:09:07,BTC,buy,1627517347000,39999.91,40003.26,0.008375018844,8.38E-05,end,103.2224984
2021-07-29 0:33:33,ALICE,buy,1627518813000,13.7235,13.6172,-0.7745837432,-0.007745837432,end,103.2311433
2021-08-04 8:03:33,ALICE,buy,1628064213000,13.1693,13.169,-0.002278025408,-2.28E-05,end,102.4315316
2021-08-04 8:07:44,SAND,buy,1628064464000,0.62743,0.62689,-0.08606537781,-0.0008606537781,end,102.4291982
2021-08-04 8:32:50,AXS,buy,1628065970000,41.0114,41.016,0.01121639349,0.0001121639349,end,102.3410421
2021-08-04 23:43:10,ETH,buy,1628120590000,2727.42,2720.01,-0.271685329,-0.00271685329,end,102.3525211
2021-08-06 3:18:23,LTC,buy,1628219903000,145.99,146.41,0.2876909377,0.002876909377,end,102.0744443
2021-08-06 15:02:39,MDX,buy,1628262159000,1.2803,1.2897,0.7342029212,0.007342029212,end,102.3681032
2021-08-07 4:39:31,OGN,buy,1628311171000,0.8837,0.8817,-0.2263211497,-0.002263211497,end,103.1196928
2021-08-07 23:43:58,ADA,buy,1628379838000,1.4722,1.471,-0.08151066431,-0.0008151066431,end,102.8863112
2021-08-08 16:23:55,BTC,buy,1628439835000,44241.37,44159.46,-0.1851434528,-0.001851434528,end,102.8024478
2021-08-09 10:14:48,ETH,buy,1628504088000,3066.58,3060.13,-0.2103320311,-0.002103320311,end,102.6121158
2021-08-09 13:39:25,FTT,buy,1628516365000,48.093,48.042,-0.1060445387,-0.001060445387,end,102.3962897
2021-08-09 13:57:02,1INCH,buy,1628517422000,2.6211,2.6215,0.01526076838,0.0001526076838,end,102.287704
2021-08-09 14:20:10,EOS,buy,1628518810000,4.5165,4.5172,0.01549872689,0.0001549872689,end,102.3033139
2021-08-10 2:02:40,MANA,buy,1628560960000,0.7887,0.7859,-0.355014581,-0.00355014581,end,102.3191696
2021-08-10 2:52:24,GRT,buy,1628563944000,0.7248,0.7256,0.1103752759,0.001103752759,end,101.9559217
