date,symbol,action,timestamp,message,entry,close,profit,percentage,result,klines,balance
2021-06-28 0:02:12,BTC,buy,1624838532000,#btc buy setup,34831.44,34623.75,-0.5962716442,-0.005962716442,end,"[[1624838580000, '34831.44000000', '34847.78000000', '34707.56000000', '34711.71000000', '103.99617300', 1624838639999, '3618185.03624073', 2396, '40.87352800', '1422375.29394481', '0'], [1624838640000, '34711.71000000', '34762.33000000', '34688.16000000', '34715.82000000', '65.54698800', 1624838699999, '2275782.13625790', 1646, '28.21148700', '979728.89895766', '0'], [1624838700000, '34707.69000000', '34720.00000000', '34607.56000000', '34623.75000000', '99.50714100', 1624838759999, '3447495.62242061', 1980, '24.22093000', '839311.17837703', '0']]",100
2021-06-29 10:41:09,EOS,buy,1624963269000,"#eos buy 4.1 __+/-__ **1%

**tp 4.5-4.8

sl 3.9",4.1497,4.1467,-0.07229438273,-0.0007229438273,end,"[[1624963320000, '4.14970000', '4.16390000', '4.14720000', '4.15800000', '97479.33000000', 1624963379999, '405334.19296300', 560, '40208.65000000', '167167.04023300', '0'], [1624963380000, '4.15800000', '4.16250000', '4.15500000', '4.15610000', '39298.42000000', 1624963439999, '163402.48755900', 240, '21473.90000000', '89286.67704500', '0'], [1624963440000, '4.15590000', '4.15770000', '4.14470000', '4.14670000', '30824.69000000', 1624963499999, '128027.25257600', 218, '8365.32000000', '34729.67030600', '0']]",99.40372836
2021-06-29 10:42:40,LTC,buy,1624963360000,"#ltc buy 140-145

tp 155-160

sl 137",144.95,145.13,0.124180752,0.00124180752,end,"[[1624963380000, '144.95000000', '145.39000000', '144.94000000', '145.16000000', '4700.83982000', 1624963439999, '682145.52210540', 1831, '2611.72504000', '378923.18497900', '0'], [1624963440000, '145.15000000', '145.47000000', '144.73000000', '144.73000000', '2472.42216000', 1624963499999, '358902.21030910', 1841, '963.70829000', '139971.90848080', '0'], [1624963500000, '144.77000000', '145.19000000', '144.63000000', '145.13000000', '889.82138000', 1624963559999, '128982.84209300', 436, '296.35913000', '42982.56233440', '0']]",99.33186504
2021-06-29 10:52:53,ETH,buy,1624963973000,#eth buy setup,2171.73,2175.52,0.1745152482,0.001745152482,end,"[[1624963980000, '2171.73000000', '2177.15000000', '2171.73000000', '2176.27000000', '1527.85207000', 1624964039999, '3324229.40444490', 1528, '641.29845000', '1395070.52408550', '0'], [1624964040000, '2176.61000000', '2176.67000000', '2171.12000000', '2171.32000000', '817.21988000', 1624964099999, '1776510.63999710', 994, '313.26565000', '681040.94782900', '0'], [1624964100000, '2171.45000000', '2177.36000000', '2170.78000000', '2175.52000000', '1412.74992000', 1624964159999, '3074037.60854580', 1348, '688.53079000', '1498033.14987050', '0']]",99.4552161
2021-06-29 10:54:13,BNB,buy,1624964053000,#bnb buy setup,306,307.17,0.3823529412,0.003823529412,end,"[[1624964100000, '306.00000000', '307.46000000', '305.98000000', '306.95000000', '5164.18870000', 1624964159999, '1584748.13487400', 3524, '3053.79880000', '937089.88505700', '0'], [1624964160000, '306.95000000', '307.15000000', '306.93000000', '307.05000000', '1554.31330000', 1624964219999, '477163.92523600', 752, '598.74470000', '183822.13427600', '0'], [1624964220000, '307.08000000', '307.37000000', '306.97000000', '307.17000000', '2531.58710000', 1624964279999, '777573.51929700', 988, '1350.15960000', '414736.88907500', '0']]",99.62878062
2021-06-29 11:01:24,FIL,buy,1624964484000,#fil buy setup,59.92,59.96,0.06675567423,0.0006675567423,end,"[[1624964520000, '59.92000000', '60.00000000', '59.89000000', '59.97000000', '5745.91550000', 1624964579999, '344592.84349100', 672, '3558.73770000', '213459.41305700', '0'], [1624964580000, '59.97000000', '60.00000000', '59.81000000', '59.86000000', '2892.91690000', 1624964639999, '173296.66158500', 440, '986.01950000', '59074.17471400', '0'], [1624964640000, '59.86000000', '59.99000000', '59.85000000', '59.96000000', '1736.66140000', 1624964699999, '104114.12130500', 321, '856.70850000', '51359.49447700', '0']]",100.0097142
2021-06-29 23:56:41,BTC,buy,1625011001000,"#btc update

little dip today is for buying.

red box + ema25 4hourly zone.",35914,35911.73,-0.006320654898,-6.32E-05,end,"[[1625011020000, '35914.00000000', '35931.94000000', '35900.30000000', '35931.93000000', '16.28000700', 1625011079999, '584703.39895908', 538, '7.76175800', '278783.35283645', '0'], [1625011080000, '35931.88000000', '35935.00000000', '35844.85000000', '35857.84000000', '26.73552500', 1625011139999, '959577.18112298', 613, '6.28619000', '225646.89752175', '0'], [1625011140000, '35857.84000000', '35928.92000000', '35830.12000000', '35911.73000000', '70.77639500', 1625011199999, '2538495.18678469', 1189, '41.26885400', '1480156.41003157', '0']]",100.0764764
2021-06-30 0:50:36,EOS,buy,1625014236000,"#eos #fil moving nicely 

#ltc #bnb #eth up a bit, now turn to around entry. they can go dip a bit following btc. in case dip 3-5% they are still in the buy range.",4.2961,4.2798,-0.379413887,-0.00379413887,end,"[[1625014260000, '4.29610000', '4.29800000', '4.28510000', '4.28930000', '11826.88000000', 1625014319999, '50768.08205300', 99, '7974.95000000', '34236.52948700', '0'], [1625014320000, '4.28830000', '4.28990000', '4.28440000', '4.28800000', '16713.79000000', 1625014379999, '71657.97812000', 122, '9884.29000000', '42377.36731600', '0'], [1625014380000, '4.28840000', '4.29040000', '4.27920000', '4.27980000', '10638.10000000', 1625014439999, '45604.17838700', 78, '5332.83000000', '22868.75021900', '0']]",100.0701509
2021-06-30 4:18:48,BTC,buy,1625026728000,"#btc buy setup

entry 34.7-34.2 range.",35237.09,35271.7,0.0982203695,0.000982203695,end,"[[1625026740000, '35237.09000000', '35274.83000000', '35232.79000000', '35260.01000000', '31.18857500', 1625026799999, '1099487.72776743', 798, '21.49733300', '757891.27017909', '0'], [1625026800000, '35260.02000000', '35290.97000000', '35256.22000000', '35272.81000000', '42.59078400', 1625026859999, '1502505.13974536', 888, '23.45530600', '827503.86782120', '0'], [1625026860000, '35272.81000000', '35286.80000000', '35260.00000000', '35271.70000000', '38.68396100', 1625026919999, '1364601.77789903', 750, '22.03316400', '777262.52746509', '0']]",99.69047081
2021-06-30 8:04:58,QTUM,buy,1625040298000,"#qtum 

scalping buy setup.",7.835,7.9,0.8296107211,0.008296107211,end,"[[1625040300000, '7.83500000', '7.91000000', '7.81500000', '7.89400000', '49191.87100000', 1625040359999, '386844.40129400', 1016, '29147.97400000', '229297.99236200', '0'], [1625040360000, '7.89800000', '7.90900000', '7.86000000', '7.86700000', '12340.24800000', 1625040419999, '97270.90638100', 204, '5461.27300000', '43076.35779400', '0'], [1625040420000, '7.86000000', '7.90400000', '7.86000000', '7.90000000', '7943.10400000', 1625040479999, '62651.16563800', 114, '5203.27700000', '41035.09611700', '0']]",99.78838716
